Questions,Answers
Is there a terrace area?,"Yes, terrace access is available.  "
Do you offer packed breakfast?,"Yes, we offer packed breakfast options.  "
Are there rules about noise at night?,"Yes, we maintain quiet hours at night.  "
Do rooms have charging ports near beds?,"Yes, charging ports are near the beds.  "
Can I order food from outside apps?,"Yes, food deliveries are allowed.  "
Do you provide hair dryers?,"Yes, hair dryers are available on request.  "
Are the rooms sanitized daily?,"Yes, rooms are sanitized daily.  "
Is there any deposit during check-in?,No deposit is required during check-in.
Can I rebook if I miss my check-in date?,"Yes, you can rebook if available.  "
Are toiletries refilled daily?,"Yes, toiletries are refilled daily.  "
Do you provide laundry detergent?,"No, detergent is not provided.  "
Are there board games in common area?,"Yes, games are available in common space.  "
Do you offer cab services?,"Yes, we can help arrange a cab.  "
Is there any dress requirement in dining area?,"No dress code, but modest attire is appreciated.  "
Can I use kitchen for baby food prep?,"Yes, we allow baby food prep in kitchen.  "
Is there a mirror light in the bathroom?,"Yes, bathroom mirrors have light.  "
Can I request a bedsheet change?,"Yes, sheets can be changed upon request.  "
Do you allow filming inside rooms?,"Yes, filming is allowed with prior approval.  "
Are there chairs and a table in the room?,"Yes, there are tables and chairs in every room.  "
Can we lock the room from inside?,"Yes, doors have internal locks.  "
Is the tap water safe for brushing?,"Yes, tap water is safe for brushing.  "
Do you allow food delivery at night?,"Yes, night deliveries are allowed at gate.  "
Do you provide electric plugs for laptops?,"Yes, sockets support laptops and chargers.  "
Can we charge devices at reception?,"Yes, devices can be charged at reception.  "
Are there discounts for long stays?,"Yes, we offer long-stay discounts.  "
Do you help with city tour planning?,"Yes, we assist with city travel tips.  "
Can I request a no-interruption stay?,"Yes, you can request not to be disturbed.  "
Do you have adjustable room lights?,"Yes, room lights are adjustable.  "
Is there a hand shower in the bathroom?,"Yes, hand showers are installed in all bathrooms."
Are towels replaced daily?,"Yes, towels are changed every day.  "
Can we bring our own food?,"Yes, guests can bring outside food.  "
Is doctor on call service available?,"Yes, doctor on call is available.  "
Do you have bathrobes in the room?,"No, bathrobes are not provided.  "
Is smoking allowed in any area?,Smoking is allowed only in designated areas.
Can I check-in using a digital ID?,"Yes, digital ID is accepted.  "
Do you provide complimentary water bottles?,"Yes, we offer complimentary water bottles.  "
Can we book sightseeing packages from the hotel?,"Yes, sightseeing packages can be arranged.  "
Are party decorations allowed in rooms?,"Yes, with prior approval from staff.  "
Is there a television remote in the room?,"Yes, each room has a TV remote.  "
Do you offer ironing service?,"Yes, ironing service is available on request.  "
Is there parking for two-wheelers?,"Yes, we have secure 2-wheeler parking.  "
Do you provide hand towels?,"Yes, hand towels are included.  "
Is tea complimentary in the room?,"Yes, tea is complimentary in rooms.  "
Do you have separate rates for children?,"Yes, kids have separate pricing.  "
Can we use candles in rooms?,"No, candles are not allowed for safety.  "
Are yoga mats available?,"Yes, yoga mats are available on request.  "
Is there daily room cleaning?,"Yes, cleaning is done daily.  "
Can I request a quiet room?,"Yes, quiet rooms can be arranged if available.  "
Do you provide bath slippers?,"Yes, we provide bath slippers.  "
Is breakfast served in the room?,"Yes, in-room breakfast is available.  "
Can we order from multiple restaurants?,"Yes, multiple orders can be placed.  "
Is late-night check-in possible?,"Yes, we allow check-in anytime at night.  "
Are newspapers provided in the morning?,"Yes, newspapers are delivered on request.  "
Do you offer multilingual staff support?,"Yes, staff can assist in multiple languages.  "
Is the front desk 24 hours?,"Yes, front desk is open 24/7.  "
Do you have fan control in rooms?,"Yes, fan speed can be adjusted.  "
Is there a garbage bin in bathrooms?,"Yes, bins are available in all bathrooms.  "
Are blankets provided during winter?,"Yes, extra blankets are provided in winter.  "
Do you provide a sewing kit?,"No, sewing kits are not provided.  "
Can I get help with luggage?,"Yes, staff will help with luggage.  "
Do you allow group bookings?,"Yes, we accept group bookings.  "
Is there a reading light near the bed?,"Yes, reading lights are available in some rooms.  "
Can we request extra hangers?,"Yes, we can provide extra hangers.  "
Do you have Netflix or OTT platforms?,"Yes, OTT apps are supported on smart TVs.  "
Is there a nearby grocery shop?,"Yes, a grocery is within walking distance.  "
Are umbrellas provided during rain?,"Yes, we lend umbrellas during rain.  "
Do you have an intercom system?,"Yes, rooms have intercoms.  "
Is the shower pressure adjustable?,"Yes, you can control shower pressure.  "
Do you offer baby sitting services?,"No, babysitting is not offered.  "
Can I get a shaving kit?,"Yes, shaving kits are available.  "
Do you accept foreign currency?,"Yes, we accept major foreign currencies.  "
Is the WiFi speed suitable for Zoom calls?,"Yes, WiFi supports video conferencing.  "
Can I request early breakfast?,"Yes, early breakfast can be arranged.  "
Are there rules for pet behavior?,"Yes, pets must follow hotel rules.  "
Do you have a smoking zone?,"Yes, there’s a designated smoking area.  "
Is there a laundry bag in the room?,"Yes, laundry bags are placed in every room.  "
Can I pay using QR code apps?,"Yes, QR payments are accepted.  "
Do rooms have night lamps?,"Yes, rooms have night lamps.  "
Is there a backup bell in case intercom fails?,"Yes, manual bell is available as backup."
Can I request an extra blanket?,"Yes, extra blankets are available.  "
Is there a hair dryer in every room?,"Yes, all rooms include a hair dryer.  "
Are pets allowed in all room types?,"No, only selected rooms allow pets.  "
Can I reschedule my booking dates?,"Yes, you can modify dates if available.  "
Is sanitizer available in the lobby?,"Yes, sanitizer stations are placed in the lobby.  "
Do you have twin bed options?,"Yes, twin beds are available on request.  "
Can I get an extra chair in the room?,"Yes, we can provide an extra chair.  "
Are windows soundproof?,"Yes, windows are sound-insulated.  "
Is the reception wheelchair accessible?,"Yes, our entrance is wheelchair-friendly.  "
Can I order food from outside apps?,"Yes, outside food delivery is allowed.  "
Do you allow visitors in rooms?,Visitors are allowed until 10 PM.
Is a medical kit available at reception?,"Yes, basic medical kits are kept at reception.  "
Do rooms have charging points near the bed?,"Yes, every bed has a charging point nearby.  "
Are there mirrors in the bathroom?,"Yes, all bathrooms have mirrors.  "
Can I leave my bags after checkout?,"Yes, luggage can be stored safely.  "
Do you provide electric adapters?,"Yes, adapters can be provided.  "
Is a torch light available during power cuts?,"Yes, a flashlight is available during outages.  "
Do you provide a mini-fridge in all rooms?,"Yes, mini-fridges are in all standard rooms.  "
Is there a no-smoking floor?,"Yes, no-smoking floors are available.  "
Can I use PayPal for payment?,"No, PayPal isn’t accepted currently.  "
Are there carpets in the rooms?,"Yes, some rooms have carpet flooring.  "
Do you have rooms with a bathtub?,"Yes, bathtub options are available.  "
Is there CCTV inside the building?,"Yes, the building is under CCTV surveillance.  "
Can I request a morning wake-up call?,"Yes, wake-up calls are available on request.  "
Do you provide a welcome drink?,"Yes, a welcome drink is served on arrival.  "
Is there an elevator?,"Yes, there's an elevator to all floors.  "
Do rooms have proper ventilation?,"Yes, rooms are properly ventilated.  "
Can I request a lower-floor room?,"Yes, lower floors can be arranged if available.  "
Do you offer sightseeing maps?,"Yes, we offer printed local maps.  "
Are toiletries provided?,"Yes, basic toiletries are included.  "
Can I request a fan even with AC?,"Yes, fans are available on request.  "
Is there a shared kitchen area?,"No, we do not have a shared kitchen.  "
Do you have a library or reading space?,"No, we don’t have a reading area.  "
Are there mosquito repellents in rooms?,"Yes, mosquito repellent is provided.  "
Can I get an extra key card?,"Yes, you can get an extra key card.  "
Is the drinking water RO filtered?,"Yes, we provide RO filtered water.  "
Do rooms have clocks?,"Yes, most rooms have wall clocks.  "
Is there a shoe rack in the room?,"Yes, shoe racks are available in some rooms.  "
Can we play music in rooms?,"Yes, but at a reasonable volume.  "
Are the curtains blackout type?,"Yes, curtains are blackout type.  "
Is cutlery provided with room service?,"Yes, cutlery is included with service.  "
Do you offer currency exchange?,"No, we do not offer currency exchange.  "
Can I store my laptop at reception?,"Yes, laptops can be kept at the front desk.  "
Are glass cups available in rooms?,"Yes, glassware is included.  "
Can I get an allergy-free pillow?,"Yes, hypoallergenic pillows can be requested.  "
Do you offer holiday discounts?,"Yes, we give discounts on festive days.  "
Is there a rug or mat near the bed?,"Yes, rugs are placed by the bed.  "
Can I upgrade during my stay?,"Yes, upgrades can be made during stay.  "
Are the rooms painted recently?,"Yes, rooms were recently renovated.  "
Do you offer monthly stay discounts?,"Yes, long-stay discounts are available."
Do you have intercom service?,"Yes, intercom is available in all rooms.  "
Is early breakfast available?,"Yes, early breakfast can be arranged.  "
Do you provide parking for bikes?,"Yes, we have separate bike parking.  "
Are the beds queen or king size?,"Beds vary, both queen and king available.  "
Can I request softer pillows?,"Yes, we provide pillow options on request.  "
Do you have blackout curtains in all rooms?,"Yes, blackout curtains are standard.  "
Is the floor slippery when wet?,"Yes, bathroom tiles are slip-resistant.  "
Do you offer iron and ironing board?,"Yes, iron and board are available.  "
Can I bring my own food?,"Yes, outside food is allowed.  "
Are there smoke alarms in rooms?,"Yes, smoke detectors are installed.  "
Can I request a vegetarian-only room service?,"Yes, vegetarian meals can be arranged.  "
Do you offer packed meals for travel?,"Yes, packed food can be requested.  "
Is there a doctor on call?,"Yes, we can call a doctor if needed.  "
Can I get a cab from the hotel directly?,"Yes, taxi service is available.  "
Is there music in the lobby area?,"Yes, soft music plays in the lobby.  "
Do you provide eye masks for sleep?,"No, but you may bring your own.  "
Are there USB charging ports?,"Yes, USB ports are included.  "
Do you clean the room daily?,"Yes, daily housekeeping is provided.  "
Can I check in using digital ID?,"Yes, digital ID is accepted.  "
Is there a bellboy or luggage assistant?,"Yes, bellboy service is available.  "
Do you offer meditation or yoga space?,"No, but the room is calm for meditation.  "
Are bathroom floors anti-slip?,"Yes, bathroom tiles are anti-slip.  "
Do you have a hot water facility?,"Yes, hot water runs 24/7.  "
Is there a do-not-disturb option?,"Yes, do-not-disturb tags are provided.  "
Can I access rooftop seating?,"Yes, rooftop seating is accessible.  "
Is there a view from every room?,"No, only selected rooms have views.  "
Do you serve food in the room?,"Yes, in-room dining is available.  "
Is the hotel near public transport?,"Yes, it’s close to public transport stops.  "
Are there any scented candles in the room?,"No, we don’t provide candles.  "
Can I request fresh flowers?,"Yes, flowers can be arranged.  "
Are light dimmers available in rooms?,"No, rooms have standard lighting only.  "
Is there a lounge area for guests?,"Yes, a lounge is available for guests.  "
Do you allow music events at night?,"No, events are not allowed at night.  "
Do you have water dispensers on every floor?,"Yes, dispensers are placed on each floor.  "
Is there a mirror near the bed?,"Yes, a mirror is beside the bed.  "
Do the rooms have reading lamps?,"Yes, reading lamps are available.  "
Can I borrow board games?,"Yes, we have some indoor games.  "
Do you sell SIM cards for tourists?,"No, we don’t sell SIM cards.  "
Are international plug points available?,"Yes, plug adapters are provided.  "
Is the staff trained in first aid?,"Yes, staff are trained for emergencies.  "
Do you give complimentary face towels?,"Yes, face towels are complimentary.  "
Can I request an aroma diffuser?,"Yes, diffusers are available on request.  "
Are there art pieces in the rooms?,"Yes, decor includes artwork.  "
Do you allow birthday decorations?,"Yes, we allow light decorations.  "
Is there a garden or outdoor area?,"Yes, there is a small garden.  "
Can I walk on the terrace?,"No, terrace access is restricted.  "
Do you have an umbrella for guest use?,"Yes, umbrellas are available.  "
Can I extend checkout by 2 hours?,"Yes, late checkout can be requested.  "
Is there an option to rent a bicycle?,"Yes, bicycles are available for rent.  "
Are insect nets provided on windows?,"Yes, netting is installed on windows."
Do you provide airport shuttle service?,"Yes, shuttle service can be arranged.  "
Are there lockers available for valuables?,"Yes, lockers are available at reception.  "
Can I book a room without a credit card?,"Yes, cash bookings are allowed.  "
Is there a night receptionist?,"Yes, staff is available 24/7.  "
Are rooms soundproof?,"Yes, most rooms are sound-insulated.  "
Do you allow late-night check-ins?,"Yes, check-in is allowed anytime.  "
Can I check out before 6 AM?,"Yes, early checkout is possible.  "
Do you offer wake-up calls?,"Yes, wake-up calls are provided.  "
Is there a bar in the hotel?,"Yes, we have a bar on-site.  "
Do you have smoking rooms?,"Yes, a few smoking rooms are available.  "
Is there an ATM nearby?,"Yes, there’s an ATM close by.  "
Are rooms cleaned with disinfectant?,"Yes, all rooms are disinfected daily.  "
Is CCTV available in all common areas?,"Yes, CCTV covers all main areas.  "
Can I pay with foreign currency?,"Yes, we accept foreign cash.  "
Do you accept digital wallets?,"Yes, digital wallet payments accepted.  "
Can I request birthday cake delivery?,"Yes, we can arrange birthday cakes.  "
Are pets allowed in any room type?,"No, pets are not allowed.  "
Do you have connecting rooms for families?,"Yes, connecting rooms are offered.  "
Is there a microwave in the room?,"No, microwaves are not in rooms.  "
Can I get extra napkins or tissues?,"Yes, tissues and napkins can be provided.  "
Do you serve Jain food?,"Yes, Jain food is available on request.  "
Are wheelchairs available on request?,"Yes, wheelchairs can be arranged.  "
Is Braille signage available?,"No, Braille signage is not available.  "
Do you offer baby-sitting services?,"No, babysitting is not offered.  "
Can I stay without ID?,"No, ID is mandatory at check-in.  "
Is there a mini bar in rooms?,"Yes, mini bars are stocked in rooms.  "
Do you have newspaper delivery?,"Yes, newspapers can be delivered.  "
Are power backups available during outage?,"Yes, backup power is available.  "
Do you offer free shuttle to nearby attractions?,"No, shuttle is only to/from airport.  "
Can I request a fan in winter?,"Yes, fans are available upon request.  "
Is there any noise after 10 PM?,"No, hotel is quiet after 10 PM.  "
Do you offer spa or massage services?,"Yes, spa services are available.  "
Can I get cold water anytime?,"Yes, cold water is always available.  "
Are there hooks in the bathroom?,"Yes, hooks are installed in bathrooms.  "
Is the TV remote sanitized?,"Yes, all remotes are sanitized.  "
Can I play music in the room?,"Yes, at low volume it’s okay.  "
Are guests allowed to bring guests?,"Yes, visitors are allowed until 9 PM.  "
Is there a limit on Wi-Fi usage?,"No, Wi-Fi is unlimited.  "
Can I request a portable heater?,"Yes, heaters are available.  "
Do you have a gift shop?,"Yes, we have a souvenir shop.  "
Can I request a notepad and pen?,"Yes, stationery is available.  "
Is there a photo booth in the hotel?,"No, we don’t have a photo booth.  "
Do you offer conference room facilities?,"Yes, meeting rooms are available.  "
Is there staff to help with sightseeing plans?,"Yes, we assist with travel planning.  "
Are there robes in the bathroom?,"Yes, robes are provided in suites.  "
Is salt available on request for gargle?,"Yes, salt can be requested.  "
Can I charge my devices at the reception?,"Yes, reception can help with charging.  "
Do rooms have carpets or tiles?,"Rooms are tiled, not carpeted.  "
Is the lighting adjustable?,"No, lighting is fixed in rooms.  "
Can I request earplugs for sleep?,"Yes, earplugs are available if needed."
Is there a restaurant inside the hotel?,"Yes, there’s a restaurant on-site.  "
Can I get food delivered to my room?,"Yes, room service is available.  "
Is hot drinking water available?,"Yes, hot water is available anytime.  "
Do you offer packages for couples?,"Yes, we offer couple packages.  "
Can I check in with a digital ID?,"Yes, digital ID is accepted.  "
Is there a terrace or rooftop area?,"Yes, rooftop access is available.  "
Are yoga mats available?,"Yes, yoga mats can be provided.  "
Do you provide luggage assistance?,"Yes, bellboy assistance is available.  "
Are the rooms air-conditioned?,"Yes, all rooms have AC.  "
Can I cancel my booking last minute?,"Depends on policy, check while booking.  "
Is the hotel earthquake-resistant?,"Yes, the building meets safety codes.  "
Do you provide sanitizer in the room?,"Yes, sanitizer is placed in each room.  "
Is the hotel staff multilingual?,"Yes, some staff speak multiple languages.  "
Can I see photos of the room before booking?,"Yes, photos are shown online.  "
Is tea available 24 hours?,"Yes, tea is available round the clock.  "
Can I get extra chairs in the room?,"Yes, chairs can be added if needed.  "
Do you have parking for bikes?,"Yes, bike parking is available.  "
Are there snacks available at midnight?,"Yes, limited snacks are offered late night.  "
Do you allow guests to use the kitchen?,"No, kitchen access isn’t allowed.  "
Is there a dressing table in the room?,"Yes, dressing table is included.  "
Do you provide room keys or card access?,We provide keycard access.
Is the lift working during power cuts?,"Yes, lift works on backup power.  "
Are toiletries restocked daily?,"Yes, toiletries are refilled daily.  "
Do you have a doorman?,"Yes, a doorman is available.  "
Are single women travelers safe here?,"Yes, safety is a top priority.  "
Is the hotel near a hospital?,"Yes, hospital is within 10 mins.  "
Can I leave my luggage after checkout?,"Yes, we offer luggage holding.  "
Are candles allowed in the room?,"No, candles are not allowed.  "
Do you provide a map of local attractions?,"Yes, we can provide a local map.  "
Is early breakfast possible?,"Yes, early breakfast can be arranged.  "
Can you help arrange a birthday surprise?,"Yes, we assist with surprises.  "
Is there a water purifier on site?,"Yes, water purifiers are installed.  "
Do rooms have curtains or blinds?,"Yes, rooms have blackout curtains.  "
Can I get a non-slip bathroom mat?,"Yes, available on request.  "
Do you play background music in lobby?,"Yes, soft music plays in lobby.  "
Can I get a separate blanket?,"Yes, extra blankets are available.  "
Is there an intercom facility?,"Yes, intercom is available in rooms.  "
Can I reserve a room by phone?,"Yes, phone reservations are accepted.  "
Is there a lounge or waiting area?,"Yes, lounge space is available.  "
Do you provide travel adapters?,"Yes, adapters can be borrowed.  "
Are there books or magazines in the lobby?,"Yes, reading materials are in lobby.  "
Can I request a fixed bed type?,"Yes, beds can be arranged as needed.  "
Is there a no-disturb option?,"Yes, Do Not Disturb tags are provided.  "
Do you allow walk-in guests?,"Yes, walk-ins are accepted.  "
Is ID required for children?,"No, ID not needed for minors.  "
Do you provide airport drop at night?,"Yes, drop service is available at night.  "
Can I pay in installments?,"No, full payment is required.  "
Is the hotel environment eco-friendly?,"Yes, we follow green practices.  "
Do you offer online check-in?,"Yes, online check-in is supported.  "
Is there any restriction for foreign guests?,No restrictions for foreign nationals.
Is there a mirror in the bathroom?,"Yes, bathrooms include mirrors.  "
Do you have CCTV in public areas?,"Yes, CCTV is active in public zones.  "
Can I pay using QR code?,"Yes, QR code payment is accepted.  "
Are mosquito nets available?,"Yes, nets are available upon request.  "
Do you allow indoor photoshoots?,"Yes, photoshoots are allowed with permission.  "
Can I get a wake-up call?,"Yes, we offer wake-up call service.  "
Do you have a waiting area for guests?,"Yes, a guest lounge is available.  "
Is the hotel pet-friendly?,"No, pets are not allowed.  "
Do rooms have emergency lights?,"Yes, rooms have emergency lighting.  "
Can I request soft pillows?,"Yes, soft pillows can be requested.  "
Do you offer wheelchair-friendly rooms?,"Yes, wheelchair-friendly options exist.  "
Is there any dress code for dining?,No specific dress code is required.
Can I check-in using passport?,"Yes, passport is accepted for check-in.  "
Do you offer group discounts?,"Yes, group discounts are available.  "
Can I store my medicine in a fridge?,"Yes, medicine can be stored safely.  "
Are makeup mirrors available?,"Yes, makeup mirrors are available.  "
Do you allow bringing outside food?,"Yes, outside food is allowed.  "
Can I request a prayer mat?,"Yes, we can provide prayer mats.  "
Is smoking allowed inside rooms?,"No, smoking is allowed only in designated areas.  "
Are there rooms without carpet?,"Yes, we offer non-carpeted rooms too.  "
Do you offer newspaper service?,"Yes, newspapers can be arranged.  "
Can I get cold water bottles?,"Yes, both hot and cold bottles are available.  "
Do you offer electric blanket in winter?,"Yes, electric blankets are offered in winter.  "
Can I choose a quiet room?,"Yes, we’ll try to assign a quiet room.  "
Are there fire extinguishers on each floor?,"Yes, extinguishers are on every floor.  "
Can I get a taxi from the hotel?,"Yes, taxis can be booked from reception.  "
Do you charge for late checkout?,"Yes, charges apply for late checkout.  "
Is there a mobile charging point near the bed?,"Yes, sockets are beside the bed.  "
Do you offer bridal room setup?,"Yes, we offer bridal decoration services.  "
Are the rooms cleaned daily?,"Yes, daily cleaning is provided.  "
Do you have room heaters?,"Yes, heaters are available in cold seasons.  "
Can I get dinner packed for travel?,"Yes, packed meals can be arranged.  "
Is there a minimum age for check-in?,"Yes, check-in age is 18+.  "
Do you provide bathrobes?,"Yes, bathrobes are provided on request.  "
Can I leave feedback after my stay?,"Yes, feedback is welcomed anytime.  "
Do you offer long-term stay discounts?,"Yes, discounts apply for long stays.  "
Is there a suggestion box at reception?,"Yes, a suggestion box is available.  "
Can I rebook the same room again?,"Yes, room rebooking is possible.  "
Are the light switches near the bed?,"Yes, light switches are bedside.  "
Do you offer massage services?,"Yes, spa and massage can be arranged.  "
Is there a pool at the hotel?,"No, we don’t have a pool.  "
Do you provide a shaving kit?,"Yes, shaving kits are available.  "
Can I upgrade my room after check-in?,"Yes, upgrades are possible depending on availability.  "
Do the rooms have wall clocks?,"Yes, wall clocks are included.  "
Can I request scented candles?,"Yes, with safety precautions.  "
Is breakfast buffet or à la carte?,Both options are available.
Can I bring my own drinks?,"Yes, personal drinks are allowed in rooms.  "
Do rooms have a separate sitting area?,Some rooms include sitting space.
Can I stay longer after checkout for few hours?,"Yes, based on availability with small fee.  "
Is the hotel suitable for kids?,"Yes, the hotel is kid-friendly.  "
Do you offer seasonal packages?,"Yes, seasonal offers are provided."
Do you provide hairdryers in the room?,"Yes, hairdryers are provided.  "
Is there a mini bar available?,"Yes, select rooms have a mini bar.  "
Can I bring extra guests to my room?,"Yes, with prior approval and charges.  "
Are your rooms soundproof?,"Yes, rooms are sound-insulated.  "
Can I pay with mobile wallet apps?,"Yes, mobile wallet payments are accepted.  "
Is luggage assistance available?,"Yes, our staff assists with luggage.  "
Do you have any smoking rooms?,"Yes, a few rooms allow smoking.  "
Are high chairs available for kids?,"Yes, high chairs can be arranged.  "
Do you offer early breakfast?,"Yes, early breakfast is possible on request.  "
Is there a doctor on call?,"Yes, we have a doctor on call.  "
Can I book without advance payment?,"Yes, some bookings don’t need prepayment.  "
Do you provide complimentary water?,"Yes, complimentary bottles are included.  "
Can I request a birthday surprise?,"Yes, surprise arrangements are available.  "
Are the rooms air-conditioned?,"Yes, all rooms have AC.  "
Is there a limit to Wi-Fi usage?,"No, there’s no data cap.  "
Do you have blackout curtains?,"Yes, blackout curtains are provided.  "
Can I request extra blankets?,"Yes, extra blankets can be arranged.  "
Is laundry service available?,"Yes, laundry is available at extra charge.  "
Can I pay at the time of checkout?,"Yes, payment at checkout is allowed.  "
Do you accept foreign currency?,"Yes, foreign currency is accepted.  "
Can I check in at midnight?,"Yes, 24-hour check-in is possible.  "
Are ID cards mandatory?,"Yes, valid ID is required for all guests.  "
Is there a photo booth at the hotel?,"No, we don’t have a photo booth.  "
Do you offer candlelight dinner setup?,"Yes, we arrange candlelight dinners.  "
Can I store valuables safely?,"Yes, rooms have safes or lockers.  "
Is sanitizer available in the room?,"Yes, sanitizers are provided in all rooms.  "
Can I choose a room with a view?,"Yes, view-based room options exist.  "
Do rooms come with tea/coffee setup?,"Yes, tea/coffee makers are available.  "
Can I extend my stay online?,"Yes, you can extend through our website.  "
Is there a play area for children?,"Yes, we have a play corner for kids.  "
Do you organize sightseeing trips?,"Yes, local sightseeing can be arranged.  "
Are gym facilities available?,"Yes, gym access is available.  "
Do you allow late-night checkouts?,"Yes, late checkouts can be requested.  "
Is there a backup generator?,"Yes, backup power is available 24/7.  "
Can I use my room for business meetings?,"Yes, meeting use is allowed with prior notice.  "
Do you offer umbrellas in rainy season?,"Yes, umbrellas are provided on request.  "
Are there emergency exit signs?,"Yes, exits are clearly marked.  "
Do you provide dental kits?,"Yes, dental kits are available.  "
Is hot water available 24/7?,"Yes, hot water is available anytime.  "
Are pets allowed in the restaurant?,"No, pets are not allowed in the restaurant.  "
Can I pay using credit card?,"Yes, major credit cards are accepted.  "
Do you charge for extra guests?,"Yes, extra guests are chargeable.  "
Can I get extra keys for the room?,"Yes, duplicate keys are available.  "
Is there an ironing board in the room?,"Yes, ironing boards are in-room or on request.  "
Do you offer gift wrapping services?,"Yes, we offer gift wrapping.  "
Are the rooms insect-proofed?,"Yes, rooms are regularly insect-proofed.  "
Can I reschedule my booking?,"Yes, bookings can be rescheduled.  "
Do you offer event hall bookings?,"Yes, our event hall is open for booking.  "
Is smoking allowed on the balcony?,"Yes, smoking is allowed on balconies.  "
Can I use the kitchen in the room?,Only in suites or apartments with kitchenette.
Is the front desk open 24 hours?,"Yes, our front desk is open 24/7.  "
Can I get a room near the elevator?,"Yes, request while booking.  "
Do you have rooms with a bathtub?,"Yes, select rooms have bathtubs.  "
Is breakfast included in all bookings?,"No, some plans include it, some don't.  "
Can I order food from outside?,"Yes, outside food is allowed.  "
Do you offer wheelchair-accessible rooms?,"Yes, accessible rooms are available.  "
Is there a shuttle from the bus park?,"Yes, shuttle service can be arranged.  "
Do rooms have USB charging ports?,"Yes, rooms have USB ports.  "
Are curtains blackout or sheer?,We provide blackout curtains.
Can I ask for room cleaning daily?,"Yes, cleaning is done daily.  "
Is there a curfew at night?,"No, there’s no night curfew.  "
Can I get a fan if I don’t want AC?,"Yes, fans can be provided.  "
Do you allow filming inside the hotel?,"Yes, with prior permission.  "
Is there a separate smoking area?,"Yes, a smoking zone is available.  "
Can I cancel my booking last minute?,Depends on policy; some charges may apply.
Do you serve buffet breakfast?,"Yes, buffet breakfast is served.  "
Is CCTV available on each floor?,"Yes, every floor has CCTV.  "
Can I see the room before checking in?,"Yes, you can inspect before check-in.  "
Are extra chairs available in the room?,"Yes, extra chairs can be arranged.  "
Is Wi-Fi secured with password?,"Yes, password is shared during check-in.  "
Can I use Bluetooth speakers in my room?,"Yes, just keep the volume low.  "
Are bathrobes available on request?,"Yes, bathrobes are available on request.  "
Can I keep my bike inside the hotel?,"Yes, indoor bike storage is allowed.  "
Do you have vending machines?,"No, we don’t have vending machines.  "
Is public transport nearby?,"Yes, buses are a short walk away.  "
Can I stay for just a few hours?,"Yes, hourly bookings are available.  "
Do you have a reading lamp?,"Yes, reading lamps are available.  "
Is the hotel earthquake-resistant?,"Yes, we follow safety standards.  "
Are the rooms cleaned before check-in?,"Yes, deep cleaned before new guests arrive.  "
Can I receive parcels at the hotel?,"Yes, guests can receive packages.  "
Is there a place to heat baby food?,"Yes, the kitchen can help.  "
Can I request for a specific room number?,"Yes, if available.  "
Do you have conference room facilities?,"Yes, meeting rooms are available.  "
Are room service staff trained in English?,"Yes, most staff speak English.  "
Can I do online check-in?,"Yes, we offer online check-in.  "
Do you provide airport taxi booking?,"Yes, we help arrange airport taxis.  "
Are the walls soundproof?,"Yes, walls are designed to reduce noise.  "
Can I leave feedback directly to the manager?,"Yes, direct feedback is welcome.  "
Do you have 24/7 power backup?,"Yes, backup runs 24/7.  "
Can I check room availability online?,"Yes, real-time availability is online.  "
Is the hotel eco-friendly?,"Yes, we follow green practices.  "
Do you allow walk-in bookings?,"Yes, walk-ins are welcome.  "
Are there hidden charges?,"No, pricing is transparent.  "
Can I ask for fresh towels daily?,"Yes, towels are refreshed on request.  "
Do you offer wake-up calls?,"Yes, wake-up calls are offered.  "
Are flowers allowed in the room?,"Yes, you may bring flowers.  "
Can I access the rooftop?,"Yes, rooftop access is allowed.  "
Is there a curfew for visitors?,"Yes, visitor hours are limited.  "
Can I stay anonymously?,"Yes, you can request privacy.  "
Do you offer group discounts?,"Yes, discounts for large groups apply."
Do you allow birthday decorations?,"Yes, small decorations are allowed.  "
Is breakfast included in the base price?,"Yes, in select packages.  "
Can I upgrade my room after arrival?,"Yes, based on availability.  "
Is outside food allowed in the room?,"Yes, you may bring your own food.  "
Do you have rooms for senior citizens?,"Yes, rooms are senior-friendly.  "
Can I change my checkout time?,"Yes, request during check-in.  "
Is your hotel safe for kids?,"Yes, our hotel is child-safe.  "
Are double rooms available with two beds?,"Yes, we have twin-bed options.  "
Do you provide a bill at checkout?,"Yes, a printed bill is given.  "
Is there a mirror in the bathroom?,"Yes, every bathroom has a mirror.  "
Can I check room availability by phone?,"Yes, call us directly to check.  "
Is a tour guide available?,"Yes, we can arrange on request.  "
Can I get a wake-up call in the morning?,"Yes, wake-up calls are available.  "
Are electric kettles provided?,"Yes, electric kettles are provided.  "
Is there any mosque nearby?,"Yes, a mosque is nearby.  "
Are pets allowed in deluxe rooms?,"Yes, pets are allowed in some rooms.  "
Do rooms have mosquito repellents?,"Yes, mosquito coils are provided.  "
Can I get assistance to carry my bags?,"Yes, our staff can assist.  "
Do rooms have emergency torches?,"Yes, torches are kept in rooms.  "
Do you offer free cancellation?,"Yes, if within policy period.  "
Can I get a fresh bedsheet?,"Yes, fresh linen can be provided.  "
Is there a doctor on call?,"Yes, doctor can be called if needed.  "
Is there a bench to sit in the lobby?,"Yes, seating is available in lobby.  "
Can I store food in the hotel fridge?,"Yes, with staff assistance.  "
